Benchmark,EPS Type,PE Type,EPS Change (%),PE Change (%),Adjusted EPS,Adjusted PE,Implied Index Level,Implied Return (%),Current EPS,Current PE,Current Index Level
S&P 500,trailing,trailing,29.999999999999982,-20.000000000000007,292.49999999999994,22.24,6505.199999999998,3.999999999999959,225.0,27.8,6255.0
S&P 500,trailing,trailing,29.999999999999982,-10.000000000000009,292.49999999999994,25.02,7318.3499999999985,16.99999999999997,225.0,27.8,6255.0
S&P 500,trailing,trailing,29.999999999999982,-1.1102230246251565e-14,292.49999999999994,27.799999999999997,8131.499999999997,29.99999999999996,225.0,27.8,6255.0
S&P 500,trailing,trailing,29.999999999999982,9.999999999999986,292.49999999999994,30.58,8944.649999999998,42.99999999999997,225.0,27.8,6255.0
S&P 500,trailing,trailing,29.999999999999982,19.999999999999986,292.49999999999994,33.35999999999999,9757.799999999996,55.999999999999936,225.0,27.8,6255.0
S&P 500,trailing,trailing,29.999999999999982,29.999999999999982,292.49999999999994,36.13999999999999,10570.949999999995,68.99999999999993,225.0,27.8,6255.0
S&P 500,trailing,trailing,29.999999999999982,39.99999999999998,292.49999999999994,38.92,11384.099999999999,81.99999999999999,225.0,27.8,6255.0
S&P 500,trailing,trailing,29.999999999999982,49.99999999999998,292.49999999999994,41.699999999999996,12197.249999999996,94.99999999999996,225.0,27.8,6255.0
S&P 500,trailing,trailing,39.99999999999998,-50.0,315.0,13.9,4378.5,-30.000000000000004,225.0,27.8,6255.0
S&P 500,trailing,trailing,39.99999999999998,-40.0,315.0,16.68,5254.2,-16.000000000000004,225.0,27.8,6255.0
S&P 500,trailing,trailing,39.99999999999998,-30.000000000000004,315.0,19.46,6129.900000000001,-1.9999999999999907,225.0,27.8,6255.0
S&P 500,trailing,trailing,39.99999999999998,-20.000000000000007,315.0,22.24,7005.599999999999,11.99999999999999,225.0,27.8,6255.0
S&P 500,trailing,trailing,39.99999999999998,-10.000000000000009,315.0,25.02,7881.3,26.0,225.0,27.8,6255.0
S&P 500,trailing,trailing,39.99999999999998,-1.1102230246251565e-14,315.0,27.799999999999997,8757.0,39.99999999999999,225.0,27.8,6255.0
S&P 500,trailing,trailing,39.99999999999998,9.999999999999986,315.0,30.58,9632.699999999999,53.99999999999998,225.0,27.8,6255.0
S&P 500,trailing,trailing,39.99999999999998,19.999999999999986,315.0,33.35999999999999,10508.399999999998,67.99999999999997,225.0,27.8,6255.0
S&P 500,trailing,trailing,39.99999999999998,29.999999999999982,315.0,36.13999999999999,11384.099999999999,81.99999999999999,225.0,27.8,6255.0
S&P 500,trailing,trailing,39.99999999999998,39.99999999999998,315.0,38.92,12259.800000000001,96.00000000000001,225.0,27.8,6255.0
S&P 500,trailing,trailing,39.99999999999998,49.99999999999998,315.0,41.699999999999996,13135.499999999998,109.99999999999997,225.0,27.8,6255.0
S&P 500,trailing,trailing,49.99999999999998,-50.0,337.49999999999994,13.9,4691.249999999999,-25.00000000000001,225.0,27.8,6255.0
S&P 500,trailing,trailing,49.99999999999998,-40.0,337.49999999999994,16.68,5629.499999999999,-10.00000000000002,225.0,27.8,6255.0
S&P 500,trailing,trailing,49.99999999999998,-30.000000000000004,337.49999999999994,19.46,6567.749999999999,4.999999999999982,225.0,27.8,6255.0
S&P 500,trailing,trailing,49.99999999999998,-20.000000000000007,337.49999999999994,22.24,7505.999999999998,19.99999999999997,225.0,27.8,6255.0
S&P 500,trailing,trailing,49.99999999999998,-10.000000000000009,337.49999999999994,25.02,8444.249999999998,34.999999999999964,225.0,27.8,6255.0
S&P 500,trailing,trailing,49.99999999999998,-1.1102230246251565e-14,337.49999999999994,27.799999999999997,9382.499999999998,49.99999999999998,225.0,27.8,6255.0
